NM_MUN,date,precipitation,SIGLA_UF,Lat,Long
Barra do Turvo,2023-08-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-20,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-18,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-17,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-16,"3,827399492",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-14,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-13,"15,52237606",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-12,"46,61646271",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-11,"13,17156792",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-10,"31,04279518",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-09,"19,17934227",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-08,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-07,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-05,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-03,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-31,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-30,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-29,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-28,"29,38913155",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-26,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-20,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-19,"1,694120646",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-18,"5,320793152",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-17,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-16,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-14,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-13,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-11,"19,78092575",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-10,"38,57855988",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-09,"10,44737339",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-08,"8,651450157",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-07,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-05,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-03,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-07-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-30,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-29,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-28,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-26,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-20,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-18,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-17,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-16,"7,900532246",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-15,"50,13100815",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-14,"30,91923714",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-13,"7,606306553",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-11,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-10,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-09,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-08,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-07,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-05,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-03,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-06-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-31,"13,07207394",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-30,"15,67963123",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-29,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-28,"20,7638073",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-27,"5,136924267",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-26,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-21,"2,037621975",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-20,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-18,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-17,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-16,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-14,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-13,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-11,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-10,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-09,"4,668483734",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-08,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-07,"5,602330208",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-05,"5,021502018",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-04,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-03,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-05-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-30,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-29,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-28,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-26,"10,68948555",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-04-21,0,SP,"-24,88874209","-48,42697368"
